,dbn,schoolname,rr_s,N_s,nr_s,saf_s_11,com_s_11,eng_s_11,aca_s_11
1113,24Q005,I.S. 5 - The Walter Crowley Intermediate School,94,1412,1508,6.6,6,6.6,7.5
1114,24Q007,P.S. 007 Louis F. Simeone,,,0,,,,
1115,24Q012,P.S. 012 James B. Colgate,,,0,,,,
1116,24Q013,P.S. 013 Clement C. Moore,,,0,,,,
1117,24Q014,P.S. 014 Fairview,,,0,,,,
1118,24Q016,P.S. Q016,,,0,,,,
1119,24Q019,P.S. 019 Marino Jeantet,,,0,,,,
1120,24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Cente,,,0,,,,
1121,24Q049,P.S. 049 Dorothy Bonawit Kole,97,197,203,7.4,7,7.3,8
1122,24Q058,P.S. 58 - School of Heroes,99,113,114,7.4,6.1,7.5,8
1123,24Q061,I.S. 061 Leonardo Da Vinci,95,2089,2188,6.5,6.2,6.8,7.7
1124,24Q068,P.S. 068 Cambridge,,,0,,,,
1125,24Q071,P.S. 071 Forest,,,0,,,,
1126,24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,95,1413,1493,6.4,5.7,6.3,7.4
1127,24Q077,I.S. 077,97,1090,1127,6,5.9,6.3,7.1
1128,24Q081,P.S. 81Q Jean Paul Richter,,,0,,,,
1129,24Q087,P.S. 087 Middle Village,91,182,200,8.4,8.1,8.9,9.1
1130,24Q088,P.S. 088 Seneca,,,0,,,,
1131,24Q089,P.S. 089 Elmhurst,,,0,,,,
1132,24Q091,P.S. 091 Richard Arkwright,,,0,,,,
1133,24Q093,I.S. 093 Ridgewood,91,1166,1275,6.1,5.9,6.5,7.4
1134,24Q102,P.S. 102 Bayview,99,331,336,7.5,6.9,7.8,8.5
1135,24Q113,P.S. 113 Isaac Chauncey,98,179,183,9.3,8.7,9.2,9.4
1136,24Q119,I.S. 119 The Glendale,98,938,961,6.3,6.2,6.8,7.7
1137,24Q125,I.S. 125 Thom J. McCann Woodside,99,1424,1445,6.9,5.9,6.9,7.8
1138,24Q128,P.S. 128 Juniper Valley,98,124,126,8.7,7.8,8.5,8.9
1139,24Q143,P.S. 143 Louis Armstrong,,,0,,,,
1140,24Q153,P.S. 153 Maspeth Elem,100,165,165,8.2,7.9,8.7,8.9
1141,24Q199,P.S. 199 Maurice A. Fitzgerald,,,0,,,,
1142,24Q229,P.S. 229 Emanuel Kaplan,97,151,156,8.8,7.8,8.8,9.2
1143,24Q239,P.S. 239,,,0,,,,
1144,24Q264,Academy of Finance and Enterprise,95,400,420,7.3,6.5,6.9,7.9
1145,24Q267,High School of Applied Communication,95,330,346,6.8,6.2,6.5,7.3
1146,24Q290,P.S. 290,,,0,,,,
1147,24Q293,Civic Leadership Academy,92,295,320,7.3,6.7,7.4,7.8
1148,24Q296,Pan American International High School,87,294,339,7.3,6.1,7,7.6
1149,24Q299,Bard High School Early College II,88,460,522,7.9,6.8,7.4,8.4
1150,24Q305,Learners and Leaders,,,0,,,,
1151,24Q307,Pioneer Academy,,,0,,,,
1152,24Q330,P.S. 330,,,0,,,,
1153,24Q455,Newtown High School,74,2076,2787,6.4,5.9,6.4,7.1
1154,24Q457,HS Arts & Business Yabc,44,86,196,8,6.5,7.6,7.9
1155,24Q485,Grover Cleveland High School,56,1260,2260,6.4,5.7,6.5,7.2
1156,24Q520,Middle College High School at LaGuardia Community,70,321,460,7.3,6.1,6.8,7.4
1157,24Q530,International High School at LaGuardia Community C,84,381,453,8,6.9,7.3,7.8
1158,24Q550,High School for Arts and Business,84,632,750,7,5.5,6.8,7.4
1159,24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",87,478,549,7.2,6.2,6.5,7.1
1160,24Q600,Queens Vocational and Technical High School,85,1092,1285,6.6,5.8,6.3,7.2
1161,24Q610,Aviation Career & Technical Education High School,93,1932,2067,6.9,5.8,6.4,7.3
1162,24Q744,VOYAGES Preparatory,91,208,229,9.3,9.3,9,9.2
1163,24Q877,The 51 Avenue Academy (The Path To Academic Excell,,,0,,,,
1164,25Q020,P.S. 020 John Bowne,,,0,,,,
1165,25Q021,P.S. 021 Edward Hart,,,0,,,,
1166,25Q022,P.S. 022 Thomas Jefferson,,,0,,,,
1167,25Q024,P.S. 024 Andrew Jackson,,,0,,,,
1168,25Q025,I.S. 025 Adrien Block,97,801,824,6.1,5.6,6.1,7.2
1169,25Q029,P.S. 029 Queens,,,0,,,,
1170,25Q032,P.S. 032 State Street,,,0,,,,
1171,25Q079,P.S. 079 Francis Lewis,,,0,,,,
1172,25Q107,P.S. 107 Thomas A Dooley,,,0,,,,
1173,25Q120,P.S. 120 Queens,,,0,,,,
1174,25Q129,P.S. 129 Patricia Larkin,,,0,,,,
1175,25Q130,P.S. 130,,,0,,,,
1176,25Q154,P.S. 154 Queens,,,0,,,,
1177,25Q163,P.S. 163 Flushing Heights,,,0,,,,
1178,25Q164,P.S. 164 Queens Valley,91,202,221,6.6,5.6,6.6,7.5
1179,25Q165,P.S. 165 Edith K. Bergtraum,,,0,,,,
1180,25Q169,P.S. 169 Bay Terrace,,,0,,,,
1181,25Q184,P.S. 184 Flushing Manor,,,0,,,,
1182,25Q185,J.H.S. 185 Edward Bleeker,77,855,1114,6.7,5.8,6.6,7.6
1183,25Q189,J.H.S. 189 Daniel Carter Beard,98,773,786,7.4,7.1,7.4,8.2
1184,25Q193,P.S. 193 Alfred J. Kennedy,,,0,,,,
1185,25Q194,J.H.S. 194 William Carr,94,1050,1117,5.9,5.5,6,7.1
1186,25Q200,PS/MS 200 - The Pomonok School & STAR Academy,100,179,179,6.2,5.8,6.8,7.2
1187,25Q201,P.S. 201 The Discovery School for Inquiry and Rese,,,0,,,,
1188,25Q209,P.S. 209 Clearview Gardens,,,0,,,,
1189,25Q214,P.S. 214 Cadwallader Colden,,,0,,,,
1190,25Q219,P.S. 219 Paul Klapper,99,198,201,7.1,5.9,6.9,8
1191,25Q237,I.S. 237,98,1168,1189,6.5,5.9,6.8,7.3
1192,25Q242,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,,,0,,,,
1193,25Q244,The Active Learning Elementary School,,,0,,,,
1194,25Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,99,368,371,5.9,5,6.1,6.8
1195,25Q252,"Queens School of Inquiry, The",100,491,491,7,6.4,7,7.7
1196,25Q263,Flushing International High School,89,352,397,7.4,7,7.2,7.5
1197,25Q281,East-West School of International Studies,95,547,574,6.7,5.8,6.4,7
1198,25Q285,World Journalism Preparatory: A College Board Scho,87,481,550,6.9,6.4,6.3,7.5
1199,25Q294,BELL Academy,99,298,302,7.3,6.3,7.1,7.6
1200,25Q425,John Bowne High School,80,2653,3329,6.8,5.8,6.5,7.1
1201,25Q460,Flushing High School,72,2103,2917,5.6,5.4,6.1,6.8
1202,25Q467,Flushing Yabc,87,216,249,8.6,7.5,8.5,8.6
1203,25Q499,"The Queens College School for Math, Science and Te",100,158,158,7,6.5,6.8,7.6
1204,25Q525,Townsend Harris High School,98,1070,1097,7.8,6,7.1,8.1
1205,25Q540,Queens Academy High School,72,222,310,6.9,5.8,6.5,7.2
1206,25Q670,Robert F. Kennedy Community High School,75,529,708,7.1,6.4,7.1,7.5
1207,25Q792,North Queens Community High School,82,143,174,7.5,7.1,7.6,8.4
1208,26Q018,P.S. 018 Winchester,,,0,,,,
1209,26Q026,P.S. 026 Rufus King,,,0,,,,
1210,26Q031,P.S. 031 Bayside,,,0,,,,
1211,26Q041,P.S. 041 Crocheron,,,0,,,,
1212,26Q046,P.S. 046 Alley Pond,,,0,,,,
1213,26Q067,J.H.S. 067 Louis Pasteur,91,829,909,6.5,6.2,6.9,7.6
1214,26Q074,J.H.S. 074 Nathaniel Hawthorne,98,920,938,7.3,6.4,7.3,7.7
1215,26Q094,P.S. 094 David D. Porter,,,0,,,,
1216,26Q098,P.S. 098 The Douglaston School,,,0,,,,
1217,26Q115,P.S. 115 Glen Oaks,,,0,,,,
1218,26Q133,P.S. 133 Queens,,,0,,,,
1219,26Q158,M.S. 158 Marie Curie,98,1048,1074,6.7,5.8,6.6,7.4
1220,26Q159,P.S. 159,,,0,,,,
1221,26Q162,P.S. 162 John Golden,,,0,,,,
1222,26Q172,Irwin Altman Middle School 172,96,952,993,5.9,5.6,6.4,7.2
1223,26Q173,P.S. 173 Fresh Meadows,,,0,,,,
1224,26Q178,P.S./ IS 178 Holliswood,92,155,168,7,6.6,7.4,8.3
1225,26Q186,P.S. 186 Castlewood,,,0,,,,
1226,26Q188,P.S. 188 Kingsbury,,,0,,,,
1227,26Q191,P.S. 191 Mayflower,,,0,,,,
1228,26Q203,P.S. 203 Oakland Gardens,,,0,,,,
1229,26Q205,P.S. 205 Alexander Graham Bell,,,0,,,,
1230,26Q213,P.S. 213 The Carl Ullman School,,,0,,,,
1231,26Q216,J.H.S. 216 George J. Ryan,97,1182,1218,6.1,5.6,6.2,7.1
1232,26Q221,P.S. 221 The North Hills School,,,0,,,,
1233,26Q266,P.S. / I.S. 266,98,261,266,6.6,5.4,6.7,7.3
1234,26Q415,Benjamin N. Cardozo High School,86,3393,3943,6.5,5.5,6.3,7
1235,26Q430,Francis Lewis High School,27,1103,4152,8.8,7.8,8.5,9
1236,26Q435,Martin Van Buren High School,69,1663,2420,5,5.1,5.4,6.3
1237,26Q495,Bayside High School,72,2527,3524,7.1,5.9,6.9,7.6
1238,26Q566,"Queens High School of Teaching, Liberal Arts and t",81,968,1193,6.4,6,6.2,7
1239,27Q042,P.S. 042 R. Vernam,75,135,181,5.2,6,6.2,7.1
1240,27Q043,P.S. 043,81,301,371,6.3,6.3,7.1,7.8
1241,27Q045,P.S. 045 Clarence Witherspoon,98,44,45,5.5,5.9,7,7.7
1242,27Q047,P.S. 047 Chris Galas,100,54,54,7.4,7.1,7.4,8.1
1243,27Q051,P.S. 051,,,0,,,,
1244,27Q053,M.S. 053 Brian Piccolo,79,368,466,5.3,5.7,6.1,7
1245,27Q056,P.S. 056 Harry Eichler,,,0,,,,
1246,27Q060,P.S. 060 Woodhaven,,,0,,,,
1247,27Q062,P.S. 062 Chester Park,,,0,,,,
1248,27Q063,P.S. 063 Old South,,,0,,,,
1249,27Q064,P.S. 064 Joseph P. Addabbo,,,0,,,,
1250,27Q065,P.S. 65 - The Raymond York Elementary School,,,0,,,,
1251,27Q066,P.S. 066 Jacqueline Kennedy Onassis,,,0,,,,
1252,27Q090,P.S. 090 Horace Mann,,,0,,,,
1253,27Q096,P.S. 096,100,30,30,7.1,6.9,7.8,8.3
1254,27Q097,P.S. 097 Forest Park,,,0,,,,
1255,27Q100,P.S. 100 Glen Morris,,,0,,,,
1256,27Q104,P.S. 104 The Bays Water,100,34,34,7.9,7.8,8.2,8.3
1257,27Q105,P.S. 105 The Bay School,97,278,286,5.9,5.8,6.8,7.6
1258,27Q106,P.S. 106,,,0,,,,
1259,27Q108,P.S. 108 Captain Vincent G. Fowler,,,0,,,,
1260,27Q114,P.S. / M.S. 114 Belle Harbor,99,114,115,7.5,7.1,7.7,8.4
1261,27Q123,P.S. 123,,,0,,,,
1262,27Q124,P.S. 124 Osmond A Church,99,352,354,8.5,8.3,8.6,8.8
1263,27Q137,M.S. 137 America's School of Heroes,95,1848,1945,5.9,5.9,6.7,7.4
1264,27Q146,P.S. 146 Howard Beach,100,190,190,7.7,6.5,7.8,8.2
1265,27Q155,P.S. 155,,,0,,,,
1266,27Q183,P.S. 183 Dr. Richard R. Green,95,177,187,7.9,8.4,8.5,9.2
1267,27Q197,P.S. 197 The Ocean School,97,62,64,7.1,6.5,7.9,8.2
1268,27Q202,J.H.S. 202 Robert H. Goddard,94,1027,1089,6.4,6.1,6.6,7.5
1269,27Q207,P.S. 207 Rockwood Park,96,196,204,7.3,6.7,7.9,8.3
1270,27Q210,J.H.S. 210 Elizabeth Blackwell,94,1923,2047,6.2,5.8,6.5,7.6
1271,27Q215,P.S. 215 Lucretia Mott,,,0,,,,
1272,27Q223,P.S. 223 Lyndon B. Johnson,,,0,,,,
1273,27Q225,P.S. 225 Seaside,96,49,51,6.3,6,6,7.1
1274,27Q226,J.H.S. 226 Virgil I. Grissom,91,1269,1400,5.8,6.1,6.4,7.3
1275,27Q232,P.S. 232 Lindenwood,100,260,261,7.7,7.7,7.9,8.7
1276,27Q253,P.S. 253,,,0,,,,
1277,27Q254,P.S. 254,,,0,,,,
1278,27Q260,Frederick Douglass Academy VI High School,84,329,394,6,5.6,6.2,7.3
1279,27Q262,Channel View School for Research,95,580,609,7.1,6.6,7.3,8.1
1280,27Q273,P.S. 273,,,0,,,,
1281,27Q282,Knowledge and Power Preparatory Academy VI,97,248,255,6.6,6.3,7.1,7.8
1282,27Q302,"Queens High School for Information, Research, and",47,113,242,6.3,6.1,6.5,7.1
1283,27Q306,New York City Academy for Discovery,,,0,,,,
1284,27Q308,Robert H. Goddard High School of Communication Art,97,417,431,6.6,6,6.5,7.3
1285,27Q309,Academy of Medical Technology: A College Board Sch,91,335,369,6.2,5.9,6.4,7.2
1286,27Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,,,0,,,,
1287,27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,98,125,127,8,7.6,8.2,8.8
1288,27Q319,VILLAGE ACADEMY,86,135,157,7.8,7.1,8.2,8.5
1289,27Q323,Scholars' Academy,96,929,967,7.9,7.3,7.8,8.3
1290,27Q324,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAI,90,78,87,6.9,6.1,6.5,7
1291,27Q333,Goldie Maple Academy,100,89,89,8.8,9.6,8.7,8.7
1292,27Q400,August Martin High School,49,513,1040,5,5,5.4,6.4
1293,27Q410,Beach Channel High School,46,414,905,5.2,5,5.8,6.3
1294,27Q465,Far Rockaway High School,71,32,45,6.6,5,6.7,7.3
1295,27Q475,Richmond Hill High School,49,1376,2805,6,5.9,6.3,7
1296,27Q480,John Adams High School,78,2422,3112,6.2,5.6,6.3,7.1
1297,27Q487,John Adams Yabc,94,136,144,8.1,6.8,7.8,8.5
1298,27Q650,"High School for Construction Trades, Engineering a",83,737,892,6.6,6,6.3,7.3
1299,28Q008,J.H.S. 008 Richard S. Grossley,68,455,669,5.6,5.8,6.3,7.2
1300,28Q030,P.S. 030 Queens,,,0,,,,
1301,28Q040,P.S. 040 Samuel Huntington,100,43,43,8.3,8.1,8.9,9.4
1302,28Q048,P.S. 048 William Wordsworth,,,0,,,,
1303,28Q050,P.S. 050 Talfourd Lawn Elementary School,97,93,96,6.2,5.7,6.9,7.8
1304,28Q054,P.S. 054 Hillside,,,0,,,,
1305,28Q055,P.S. 055 Maure,100,68,68,7.9,7.1,8,8.2
1306,28Q072,Catherine & Count Basie Middle School 72,93,666,719,5.6,5.5,6.3,7.2
1307,28Q080,P.S. 080 Thurgood Marshall Magnet,,,0,,,,
1308,28Q082,P.S. 082 Hammond,,,0,,,,
1309,28Q086,P.S. Q086,100,207,207,7.2,6.5,7.4,7.9
1310,28Q099,P.S. 099 Kew Gardens,100,85,85,6.9,6.1,7.4,8.2
1311,28Q101,P.S. 101 School in the Gardens,100,50,50,7.5,7,7.7,8
1312,28Q117,P.S. 117 J. Keld / Briarwood School,91,158,174,7.3,6.6,7.4,7.8
1313,28Q121,P.S. 121 Queens,96,129,135,7.3,6.1,7.8,8.4
1314,28Q139,P.S. 139 Rego Park,100,91,91,7,6.5,7.7,8.1
1315,28Q140,P.S. 140 Edward K Ellington,92,69,75,6.4,6.4,7.3,8
1316,28Q144,P.S. 144 Col Jeromus Remsen,84,26,31,7.4,6.6,7.2,8
1317,28Q157,J.H.S. 157 Stephen A. Halsey,92,978,1068,6.9,6.5,7.1,7.4
1318,28Q160,P.S. 160 Walter Francis Bishop,90,82,91,6.4,6.1,7.4,7.9
1319,28Q161,P.S. 161 Arthur Ashe School,95,89,94,8.2,7.3,8.2,8.4
1320,28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,89,200,224,7.9,7.4,7.6,8.2
1321,28Q174,P.S. 174 William Sidney Mount,96,51,53,7.6,6.5,7.3,7.9
1322,28Q175,P.S. 175 The Lynn Gross Discovery School,,,0,,,,
1323,28Q182,P.S. 182 Samantha Smith,,,0,,,,
1324,28Q190,J.H.S. 190 Russell Sage,99,807,818,6.2,5.4,6.4,7.1
1325,28Q196,P.S. 196 Grand Central Parkway,,,0,,,,
1326,28Q206,P.S. 206 The Horace Harding School,,,0,,,,
1327,28Q217,J.H.S. 217 Robert A. Van Wyck,79,1072,1352,6.2,5.8,6.6,7.4
1328,28Q220,P.S. 220 Edward Mandel,,,0,,,,
1329,28Q284,York Early College Academy,99,394,398,6.6,6.2,6.8,7.8
1330,28Q303,The Academy for Excellence through the Arts,,,0,,,,
1331,28Q310,Queens Collegiate: A College Board School,74,229,309,6.9,6.4,7.2,7.6
1332,28Q325,HILLSIDE ARTS & LETTERS ACADEMY,97,87,90,6.4,6.2,6.5,7.4
1333,28Q328,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,83,69,83,6.7,6.5,7.1,7.5
1334,28Q338,Queens Satellite High School for Opportunity,58,113,195,6.9,5.9,6.6,7.3
1335,28Q440,Forest Hills High School,78,2967,3820,6.7,5.8,6.6,7.4
1336,28Q470,Jamaica High School,75,771,1028,6.2,5.4,5.9,6.7
1337,28Q505,Hillcrest High School,54,1668,3088,7,7,7.4,8
1338,28Q620,Thomas A. Edison Career and Technical Education Hi,92,2119,2309,6.7,5.7,6.5,7.3
1339,28Q680,Queens Gateway to Health Sciences Secondary School,95,598,628,6.9,5.7,6.2,7.6
1340,28Q686,QUEENS METROPOLITAN HIGH SCHOOL,81,328,405,6.2,6.1,6.4,6.9
1341,28Q687,Queens High School for the Sciences at York Colle,99,399,405,7.2,6.5,6.8,7.9
1342,28Q690,High School for Law Enforcement and Public Safety,68,345,510,6.1,5.6,6.1,6.8
1343,28Q896,"Young Women's Leadership School, Queens",99,464,471,6.2,5.7,6.3,7.3
1344,29Q015,P.S. 015 Jackie Robinson,,,0,,,,
1345,29Q033,P.S. 033 Edward M. Funk,,,0,,,,
1346,29Q034,P.S. 034 John Harvard,,,0,,,,
1347,29Q035,P.S. 035 Nathaniel Woodhull,,,0,,,,
1348,29Q036,P.S. 036 Saint Albans School,,,0,,,,
1349,29Q037,Cynthia Jenkins School,,,0,,,,
1350,29Q038,P.S. 038 Rosedale,,,0,,,,
1351,29Q052,P.S. 052 Queens,,,0,,,,
1352,29Q059,I.S. 059 Springfield Gardens,92,641,694,5.2,5.3,6,7.1
1353,29Q095,P.S. 095 Eastwood,,,0,,,,
1354,29Q109,Jean Nuzzi Intermediate School,92,1002,1093,5.7,5.6,6.1,7.3
1355,29Q116,PS/IS 116 William C. Hughley,99,198,199,6.4,6,7,7.7
1356,29Q118,P.S. 118 Lorraine Hansberry,,,0,,,,
1357,29Q131,P.S. 131 Abigail Adams,,,0,,,,
1358,29Q132,P.S. 132 Ralph Bunche,,,0,,,,
1359,29Q134,P.S. 134 Hollis,,,0,,,,
1360,29Q135,The Bellaire School,,,0,,,,
1361,29Q136,P.S. 136 Roy Wilkins,,,0,,,,
1362,29Q138,P.S. 138 Sunrise,93,338,364,5.7,5.8,6.3,7.4
1363,29Q147,PS/MS 147 Ronald McNair,97,255,264,6.6,6.4,7.1,7.9
1364,29Q156,P.S. 156 Laurelton,99,275,279,5.5,5.6,6.1,7.2
1365,29Q176,P.S. 176 Cambria Heights,,,0,,,,
1366,29Q181,P.S. 181 Brookfield,,,0,,,,
1367,29Q192,I.S. 192 The Linden,82,583,711,8,8.3,8.5,8.8
1368,29Q195,P.S. 195 William Haberle,,,0,,,,
1369,29Q208,P.S. / I.S. 208,96,253,263,7.5,6.7,7.8,8.3
1370,29Q231,I.S. 231 Magnetech 2000,89,810,914,5.8,5.4,6.6,7.4
1371,29Q238,I.S. 238 Susan B Anthony,89,1382,1559,6.5,5.9,6.9,7.8
1372,29Q248,Queens Preparatory Academy,42,162,383,6.1,6.1,6.7,7.4
1373,29Q251,P.S. 251 Queens,,,0,,,,
1374,29Q259,Pathways College Preparatory School: A College Boa,73,387,530,5.3,5.7,6.3,7.1
1375,29Q265,Excelsior Preparatory High School,80,354,445,5.7,5.7,6.2,7.1
1376,29Q268,PS/IS 268,92,179,195,5.8,5.5,6.2,7.4
1377,29Q270,The Gordon Parks School,100,273,274,6.4,6,7,7.9
1378,29Q272,George Washington Carver High School for the Scien,86,374,435,5.9,5.5,6.2,7.1
1379,29Q283,Preparatory Academy for Writers: A College Board S,83,335,403,7,7.2,7.2,7.9
1380,29Q295,P.S./I.S. 295,100,184,184,7.4,6.6,7.4,8.1
1381,29Q326,CAMBRIA HEIGHTS ACADEMY,95,70,74,7.1,6.8,7.3,7.8
1382,29Q327,EAGLE ACADEMY FOR YOUNG MEN III,98,83,85,7,7.3,7.7,8
1383,29Q492,"Mathematics, Science Research and Technology Magne",87,354,408,6,5.5,6.1,6.9
1384,29Q494,"Law, Government and Community Service High School",77,304,396,5.3,5.2,5.4,6.4
1385,29Q496,"Business, Computer Applications & Entrepreneurship",85,296,348,5.7,5.7,6.1,6.9
1386,29Q498,Humanities & Arts Magnet High School,75,320,428,5.5,5.2,5.9,6.7
1387,30Q002,P.S. 002 Alfred Zimberg,,,0,,,,
1388,30Q010,I.S. 010 Horace Greeley,94,885,938,7.2,5.9,6.9,7.8
1389,30Q011,P.S. 011 Kathryn Phelan,86,146,170,7.7,6.7,7.9,8.1
1390,30Q017,P.S. 017 Henry David Thoreau,,,0,,,,
1391,30Q069,P.S. 069 Jackson Heights,,,0,,,,
1392,30Q070,P.S. 070 Queens,,,0,,,,
1393,30Q076,P.S. 076 William Hallet,,,0,,,,
1394,30Q078,P.S. 078,,,0,,,,
1395,30Q084,P.S. 084 Steinway,97,72,74,7.9,7.1,7.7,8
1396,30Q085,P.S. 085 Judge Charles Vallone,,,0,,,,
1397,30Q092,P.S. 092 Harry T. Stewart Sr.,,,0,,,,
1398,30Q111,P.S. 111 Jacob Blackwell,99,99,100,6.4,6.8,7.5,8
1399,30Q112,P.S. 112 Dutch Kills,,,0,,,,
1400,30Q122,P.S. 122 Mamie Fay,99,280,284,7.4,6.5,7.3,8.2
1401,30Q126,Albert Shanker School for Visual and Performing Ar,86,504,583,6.2,6.2,6.9,7.7
1402,30Q127,P.S. 127 Aerospace Science Magne,92,303,331,6,5.8,7,7.4
1403,30Q141,I.S. 141 The Steinway,95,952,1005,7,6.4,7,8.1
1404,30Q145,I.S. 145 Joseph Pulitzer,95,1912,2006,7.1,6.1,7.2,8
1405,30Q148,P.S. 148 Queens,,,0,,,,
1406,30Q149,P.S. 149 Christa Mcauliffe,,,0,,,,
1407,30Q150,P.S. 150 Queens,98,123,125,7.6,6.5,7.3,8.3
1408,30Q151,P.S. 151 Mary D. Carter,,,0,,,,
1409,30Q152,Q152 - P.S. 152 Gwendoline N. Alleyne School,100,48,48,9.4,9.3,9.6,9.6
1410,30Q166,P.S. 166 Henry Gradstein,,,0,,,,
1411,30Q171,P.S. 171 Peter G. Van Alst,,,0,,,,
1412,30Q204,I.S. 204 Oliver W. Holmes,96,661,685,6.2,6.1,6.7,7.4
1413,30Q212,P.S. 212,,,0,,,,
1414,30Q222,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,,,0,,,,
1415,30Q227,I.S. 227 Louis Armstrong,95,1240,1301,7.2,6.7,7.4,8
1416,30Q228,P.S. 228 Early Childhood Magnet School of the Arts,,,0,,,,
1417,30Q230,I.S. 230,96,918,956,6.8,6.1,6.7,7.6
1418,30Q234,P.S. 234,,,0,,,,
1419,30Q235,Academy for New Americans,99,202,204,9.1,8.3,8.8,9.1
1420,30Q280,P.S. 280,,,0,,,,
1421,30Q286,"Young Women's Leadership School, Astoria",99,422,427,8.1,7.1,7.7,8.3
1422,30Q301,Academy for Careers in Television and Film,96,296,308,7.3,6.8,7.7,8.1
1423,30Q445,William Cullen Bryant High School,79,2256,2873,6.6,5.6,6.5,7.2
1424,30Q450,Long Island City High School,70,2329,3347,5.6,5.4,6,6.7
1425,30Q501,Frank Sinatra School of the Arts High School,88,637,723,7,5.8,6.3,7.1
1426,30Q502,Information Technology High School,91,832,916,6.5,6.1,6.6,7.1
1427,30Q555,Newcomers High School,85,864,1013,7.4,5.6,6.6,7
1428,30Q575,Academy of American Studies,96,645,671,6.8,6,6.8,7.7
1429,30Q580,Baccalaureate School for Global Education,97,390,401,8,7.1,7.4,8.4
1430,31R001,P.S. 001 Tottenville,,,0,,,,
1431,31R002,I.S. R002 George L. Egbert,92,839,916,5.7,5.7,6,7.1
1432,31R003,P.S. 003 The Margaret Gioiosa School,,,0,,,,
1433,31R004,P.S. 004 Maurice Wollin,,,0,,,,
1434,31R005,P.S. 005 Huguenot,,,0,,,,
1435,31R006,P.S. 6 Corporal Allan F. Kivlehan School,,,0,,,,
1436,31R007,I.S. 007 Elias Bernstein,98,1147,1171,7.3,6.4,7.3,8
1437,31R008,P.S. 8 Shirlee Solomon,,,0,,,,
1438,31R011,P.S. 11 Thomas Dongan School,,,0,,,,
1439,31R013,P.S. 013 M. L. Lindemeyer,,,0,,,,
1440,31R014,P.S. 014 Cornelius Vanderbilt,,,0,,,,
1441,31R016,P.S. 016 John J. Driscoll,,,0,,,,
1442,31R018,P.S. 018 John G. Whittier,,,0,,,,
1443,31R019,P.S. 019 The Curtis School,,,0,,,,
1444,31R020,P.S. 020 Port Richmond,,,0,,,,
1445,31R021,P.S. 21 Margaret Emery-Elm Park,,,0,,,,
1446,31R022,P.S. 022 Graniteville,,,0,,,,
1447,31R023,P.S. 023 Richmondtown,,,0,,,,
1448,31R024,I.S. 024 Myra S. Barnes,98,1409,1439,6.3,5.8,6.7,7.5
1449,31R026,P.S. 026 The Carteret School,,,0,,,,
1450,31R027,I.S. 027 Anning S. Prall,98,1053,1072,6.2,6,6.7,7.4
1451,31R029,P.S. 029 Bardwell,,,0,,,,
1452,31R030,P.S. 030 Westerleigh,,,0,,,,
1453,31R031,P.S. 031 William T. Davis,,,0,,,,
1454,31R032,P.S. 032 The Gifford School,,,0,,,,
1455,31R034,I.S. 034 Tottenville,100,1139,1143,7.2,6,7.3,8
1456,31R035,P.S. 35 The Clove Valley School,,,0,,,,
1457,31R036,P.S. 036 J. C. Drumgoole,,,0,,,,
1458,31R038,P.S. 038 George Cromwell,,,0,,,,
1459,31R039,P.S. 39 Francis J. Murphy Jr.,,,0,,,,
1460,31R041,P.S. 041 New Dorp,,,0,,,,
1461,31R042,P.S. 042 Eltingville,,,0,,,,
1462,31R044,P.S. 044 Thomas C. Brown,,,0,,,,
1463,31R045,P.S. 045 John Tyler,,,0,,,,
1464,31R046,P.S. 046 Albert V. Maniscalco,,,0,,,,
1465,31R047,CSI High School for International Studies,94,488,519,6.9,5.9,6.5,7.2
1466,31R048,P.S. 048 William C. Wilcox,,,0,,,,
1467,31R049,I.S. 49 Berta A. Dreyfus,94,807,863,6.2,5.8,6.9,7.5
1468,31R050,P.S. 050 Frank Hankinson,,,0,,,,
1469,31R051,I.S. 051 Edwin Markham,97,921,951,6,5.5,6.4,7.6
1470,31R052,P.S. 052 John C. Thompson,,,0,,,,
1471,31R053,P.S. 053 Bay Terrace,,,0,,,,
1472,31R054,P.S. 054 Charles W. Leng,,,0,,,,
1473,31R055,P.S. 055 Henry M. Boehm,,,0,,,,
1474,31R056,P.S. 56 The Louis Desario School,,,0,,,,
1475,31R057,P.S. 057 Hubert H. Humphrey,,,0,,,,
1476,31R058,Space Shuttle Columbia School,,,0,,,,
1477,31R060,P.S. 060 Alice Austen,,,0,,,,
1478,31R061,I.S. 061 William A Morris,92,1151,1247,6,6.5,7,8
1479,31R063,Marsh Avenue School for Expeditionary Learning,93,397,427,8.5,8,8.5,9
