,dbn,schoolname,rr_s,N_s,nr_s,saf_s_11,com_s_11,eng_s_11,aca_s_11
166,03M258,Community Action School - MS 258,87,214,245,7,6.3,7,7.6
167,03M283,Manhattan Theatre Lab High School,53,186,350,6.1,6,6.3,7
168,03M299,"High School for Arts, Imagination and Inquiry",91,344,379,6.5,5.8,6.4,7.1
169,03M307,"Urban Assembly School for Media Studies, The",80,263,330,6.9,6.2,7.1,7.6
170,03M333,P.S. 333 Manhattan School for Children,69,124,181,6.9,6.6,7.3,7.8
171,03M334,The Anderson School,100,192,192,7.7,7,7.9,8.5
172,03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,53,93,177,6.3,6.4,6.3,7.2
173,03M403,THE GLOBAL LEARNING COLLABORATIVE,79,162,204,7,6.7,7.1,7.4
174,03M404,INNOVATION DIPLOMA PLUS,73,147,201,7.3,6.4,6.8,7.5
175,03M415,Wadleigh Secondary School for the Performing & Vis,71,336,474,6,5.5,5.9,6.6
176,03M417,FRANK McCOURT HIGH SCHOOL,98,97,99,7.3,7.3,7.1,7.7
177,03M421,WEST PREP ACADEMY,79,85,107,5.6,6.4,6.6,7.7
178,03M452,P.S. 452,,,0,,,,
179,03M470,Louis D. Brandeis High School,65,400,618,6.3,5.5,6.1,6.6
180,03M479,Beacon High School,82,934,1145,7.8,7.2,7.6,8.2
181,03M485,Fiorello H. LaGuardia High School of Music & Art a,93,2345,2530,7.1,5.9,6.6,7.6
182,03M492,"High School for Law, Advocacy and Community Justic",80,385,481,6.2,6,6.2,7.4
183,03M494,High School of Arts and Technology,87,502,574,6.4,5.8,6.5,7.1
184,03M505,Edward A. Reynolds West Side High School,59,248,423,7.4,6.1,6.9,7.5
185,03M541,Manhattan / Hunter Science High School,96,427,447,7.3,6.5,6.9,7.6
186,03M577,Brandeis Yabc,48,19,40,7.5,6.1,7.2,7.6
187,03M859,Special Music School,98,39,40,8.6,7.4,8,8.3
188,03M860,Frederick Douglass Academy II Secondary School,88,343,388,5.8,5.8,5.9,7
189,03M862,Mott Hall II,97,283,291,7.5,6.6,7.6,8.2
190,04M007,P.S. 007 Samuel Stern,98,126,129,7.1,6.1,7.2,7.8
191,04M012,Tag Young Scholars,100,149,149,7.9,7.6,8.4,8.7
192,04M013,J.H.S. 013 Jackie Robinson,63,160,252,5.8,5.5,6.3,7.1
193,04M037,River East Elementary,,,0,,,,
194,04M038,P.S. 38 Roberto Clemente,,,0,,,,
195,04M045,M.S. 45/S.T.A.R.S. Prep Academy,92,271,293,6.4,6.3,6.7,7.8
196,04M050,P.S. 050 Vito Marcantonio,86,117,136,5.8,6.1,6.5,7.4
197,04M057,James Weldon Johnson,98,130,132,7.6,6.7,7.9,8.5
198,04M072,The Lexington Academy,,,0,,,,
199,04M083,P.S. 083 Luis Munoz Rivera,,,0,,,,
200,04M096,P.S. 096 Joseph Lanzetta,94,165,175,6.5,5.9,7,7.5
201,04M102,P.S. 102 Jacques Cartier,,,0,,,,
202,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,96,281,293,7.6,6.8,7.7,8.5
203,04M112,P.S. 112 Jose Celso Barbosa,,,0,,,,
204,04M146,P.S. 146 Ann M. Short,,,0,,,,
205,04M155,P.S. 155 William Paca,,,0,,,,
206,04M171,P.S. 171 Patrick Henry,98,234,238,7.8,7.4,8.1,8.7
207,04M182,The Bilingual Bicultural School,,,0,,,,
208,04M206,P.S. 206 Jose Celso Barbosa,,,0,,,,
209,04M224,M.S. 224 Manhattan East School for Arts & Academic,88,217,248,7.1,6.9,7.7,8.1
210,04M372,ESPERANZA PREPARATORY ACADEMY,97,259,268,7.8,7.7,8.2,8.4
211,04M375,Mosaic Preparatory Academy,,,0,,,,
212,04M377,Renaissance School of the Arts,88,168,192,6.1,6.1,6.9,7.5
213,04M381,Global Neighborhood Secondary School,97,182,188,6.5,6.4,7,7.7
214,04M406,GLOBAL TECHNOLOGY PREPARATORY,93,109,117,7.6,7.4,8.5,8.8
215,04M409,Coalition School for Social Change,87,321,368,6.6,6.1,6.6,7.2
216,04M435,Manhattan Center for Science and Mathematics,92,1546,1685,6.6,5.5,6.5,7.2
217,04M495,Park East High School,85,303,355,7,6.3,6.9,7.6
